Player,Span,matches,innings,not_out,runs,high_score,average,balls_faced,strike_rate,centuries,fifties,ducks,4s,6s,Unnamed: 15,format
JW Hastings (AUS),2010-2016,9,6.0,2.0,46.0,15,11.5,37.0,124.32,0.0,0.0,0.0,3,1,,T20
Z Hoque (THAI),2019-2019,3,3.0,0.0,46.0,20,15.33,35.0,131.42,0.0,0.0,0.0,4,2,,T20
MM Iqbal (SCOT),2012-2013,6,3.0,0.0,46.0,31,15.33,45.0,102.22,0.0,0.0,0.0,4,1,,T20
RJ Trott (BMUDA),2008-2019,15,10.0,4.0,46.0,19,7.66,84.0,54.76,0.0,0.0,2.0,3,0,,T20
JJ van der Wath (SA),2006-2007,8,4.0,1.0,46.0,21,15.33,39.0,117.94,0.0,0.0,0.0,3,1,,T20
Anasim Khan (BAH),2019-2019,4,3.0,1.0,45.0,22,22.5,39.0,115.38,0.0,0.0,0.0,2,1,,T20
S Ateak (Ghana),2019-2019,3,3.0,0.0,45.0,26,15.0,48.0,93.75,0.0,0.0,0.0,6,1,,T20
R Bakum (Ghana),2019-2019,4,4.0,0.0,45.0,18,11.25,45.0,100.0,0.0,0.0,1.0,4,2,,T20
Haseeb Amjad (HKG),2014-2016,18,10.0,6.0,45.0,12*,11.25,45.0,100.0,0.0,0.0,0.0,3,1,,T20
MG Hunter (GIBR),2019-2019,4,3.0,0.0,45.0,27,15.0,61.0,73.77,0.0,0.0,0.0,2,1,,T20
NJ Maddinson (AUS),2013-2018,6,4.0,0.0,45.0,34,11.25,35.0,128.57,0.0,0.0,0.0,6,1,,T20
Mamoon Latif (Belg),2019-2019,3,3.0,0.0,45.0,24,15.0,52.0,86.53,0.0,0.0,0.0,2,2,,T20
T Munyonga (ZIM),2019-2019,5,3.0,2.0,45.0,44,45.0,34.0,132.35,0.0,0.0,0.0,3,1,,T20
Nazril Rahman (MAL),2019-2019,7,4.0,1.0,45.0,24*,15.0,45.0,100.0,0.0,0.0,0.0,4,0,,T20
VE Tembo (Moz),2019-2019,6,5.0,2.0,45.0,20*,15.0,52.0,86.53,0.0,0.0,0.0,2,0,,T20
Yasar Haroon (),2019-2019,4,4.0,0.0,45.0,29,11.25,62.0,72.58,0.0,0.0,0.0,4,1,,T20
Zohaib Sarwar (PORT),2019-2019,4,4.0,1.0,45.0,33*,15.0,46.0,97.82,0.0,0.0,2.0,1,4,,T20
Abrar Bilal (Aut),2019-2019,3,2.0,0.0,44.0,41,22.0,24.0,183.33,0.0,0.0,0.0,6,2,,T20
AJ Ayannaike (NGA),2019-2019,3,3.0,0.0,44.0,33,14.66,43.0,102.32,0.0,0.0,1.0,4,2,,T20
AA Banner (Blz),2019-2019,3,2.0,0.0,44.0,28,22.0,29.0,151.72,0.0,0.0,0.0,4,3,,T20
JM Davison (CAN),2008-2010,5,5.0,0.0,44.0,19,8.8,40.0,110.0,0.0,0.0,2.0,2,3,,T20
L Emilio (Moz),2019-2019,5,4.0,0.0,44.0,23,11.0,35.0,125.71,0.0,0.0,0.0,4,1,,T20
GF Gomes (Moz),2019-2019,7,6.0,1.0,44.0,28,8.8,46.0,95.65,0.0,0.0,1.0,6,1,,T20
Ismat Ullah (),2019-2019,4,4.0,0.0,44.0,42,11.0,47.0,93.61,0.0,0.0,1.0,4,1,,T20
Saad Nasim (PAK),2014-2014,3,2.0,0.0,44.0,25,22.0,53.0,83.01,0.0,0.0,0.0,0,1,,T20
S Badree (WI/World),2012-2018,52,16.0,10.0,43.0,14*,7.16,65.0,66.15,0.0,0.0,0.0,1,1,,T20
S Badrinath (INDIA),2011-2011,1,1.0,0.0,43.0,43,43.0,37.0,116.21,0.0,0.0,0.0,5,0,,T20
P Baron (Arg),2019-2019,5,3.0,0.0,43.0,27,14.33,38.0,113.15,0.0,0.0,0.0,0,4,,T20
NO Miller (WI),2009-2014,9,5.0,4.0,43.0,15*,43.0,47.0,91.48,0.0,0.0,0.0,2,0,,T20
P Mishra (),2019-2019,3,3.0,1.0,43.0,23,21.5,26.0,165.38,0.0,0.0,0.0,3,4,,T20
Mustafizur Rahman (BDESH),2015-2019,37,15.0,5.0,43.0,15,4.3,55.0,78.18,0.0,0.0,4.0,3,3,,T20
Saad Bin Zafar (CAN),2019-2019,11,4.0,1.0,43.0,20,14.33,33.0,130.3,0.0,0.0,0.0,3,2,,T20
M Sohel Patel (PNM),2019-2019,2,2.0,0.0,43.0,40,21.5,39.0,110.25,0.0,0.0,0.0,2,3,,T20
Amjad Ali (UAE),2014-2015,5,5.0,1.0,42.0,20,10.5,52.0,80.76,0.0,0.0,0.0,6,0,,T20
F Baaleri (Ghana),2019-2019,4,4.0,0.0,42.0,17,10.5,60.0,70.0,0.0,0.0,0.0,6,0,,T20
NG Jones (IRE),2010-2012,5,4.0,2.0,42.0,14*,21.0,38.0,110.52,0.0,0.0,1.0,1,2,,T20
Mohamed Mahfooz (Mald),2019-2019,11,5.0,0.0,42.0,16,8.4,53.0,79.24,0.0,0.0,0.0,3,0,,T20
Muaviath Ganee (Mald),2019-2019,5,4.0,0.0,42.0,19,10.5,44.0,95.45,0.0,0.0,0.0,3,1,,T20
LE Plunkett (ENG),2006-2019,22,11.0,4.0,42.0,18,6.0,34.0,123.52,0.0,0.0,3.0,3,1,,T20
AT Rayudu (INDIA),2014-2016,6,5.0,1.0,42.0,20,10.5,50.0,84.0,0.0,0.0,2.0,5,0,,T20
M Sert (TKY),2019-2019,4,4.0,1.0,42.0,16,14.0,59.0,71.18,0.0,0.0,0.0,5,0,,T20
DC Stovell (BMUDA),2019-2019,6,6.0,1.0,42.0,18*,8.4,50.0,84.0,0.0,0.0,1.0,5,0,,T20
JK Vifah (Ghana),2019-2019,3,3.0,0.0,42.0,23,14.0,45.0,93.33,0.0,0.0,0.0,2,1,,T20
KJ Young (Blz),2019-2019,3,3.0,2.0,42.0,27*,42.0,34.0,123.52,0.0,0.0,0.0,3,1,,T20
Abdul-Shakoor Rahimzei (GER),2019-2019,7,5.0,1.0,41.0,17,10.25,33.0,124.24,0.0,0.0,0.0,2,1,,T20
Abdur Razzak (BDESH),2006-2014,34,20.0,10.0,41.0,9,4.1,74.0,55.4,0.0,0.0,5.0,1,0,,T20
Ainool Hafizs (MAL),2019-2019,3,3.0,0.0,41.0,21,13.66,39.0,105.12,0.0,0.0,0.0,3,1,,T20
A Ashokan (CZK-R),2019-2019,2,2.0,0.0,41.0,34,20.5,29.0,141.37,0.0,0.0,0.0,2,3,,T20
K Jethi (CAN),2008-2008,5,5.0,1.0,41.0,24,10.25,59.0,69.49,0.0,0.0,1.0,0,2,,T20
K Joshi (Aut),2019-2019,4,3.0,1.0,41.0,32*,20.5,41.0,100.0,0.0,0.0,0.0,4,2,,T20
B Mavuta (ZIM),2018-2018,3,3.0,2.0,41.0,28,41.0,23.0,178.26,0.0,0.0,0.0,3,2,,T20
D Muhumuza (UGA),2019-2019,4,4.0,0.0,41.0,28,10.25,36.0,113.88,0.0,0.0,1.0,3,1,,T20
Murid Ekrami (Belg),2019-2019,3,2.0,0.0,41.0,28,20.5,48.0,85.41,0.0,0.0,0.0,2,0,,T20
K Pala (PNG),2015-2015,2,2.0,1.0,41.0,22*,41.0,30.0,136.66,0.0,0.0,0.0,4,2,,T20
Amir Hamza (AFG),2013-2017,31,9.0,5.0,40.0,21,10.0,38.0,105.26,0.0,0.0,1.0,3,1,,T20
TS Chisoro (ZIM),2015-2018,12,6.0,2.0,40.0,14*,10.0,42.0,95.23,0.0,0.0,0.0,2,2,,T20
BCJ Cutting (AUS/World),2013-2017,7,5.0,1.0,40.0,29,10.0,27.0,148.14,0.0,0.0,1.0,2,3,,T20
Fitri Sham (MAL),2019-2019,15,10.0,4.0,40.0,15*,6.66,56.0,71.42,0.0,0.0,0.0,2,0,,T20
Imran Bulbulia (PNM),2019-2019,3,3.0,0.0,40.0,32,13.33,42.0,95.23,0.0,0.0,1.0,4,1,,T20
LA Musiani (Arg),2019-2019,5,5.0,1.0,40.0,22,10.0,60.0,66.66,0.0,0.0,1.0,4,0,,T20
E Packard (GIBR),2019-2019,4,4.0,0.0,40.0,26,10.0,49.0,81.63,0.0,0.0,0.0,2,1,,T20
S Ravikumar (CRC),2019-2019,3,3.0,1.0,40.0,29*,20.0,44.0,90.9,0.0,0.0,1.0,3,1,,T20
Sahibzada Farhan (PAK),2018-2018,3,3.0,0.0,40.0,39,13.33,46.0,86.95,0.0,0.0,1.0,2,3,,T20
F Stoman (PORT),2019-2019,4,4.0,1.0,40.0,21*,13.33,61.0,65.57,0.0,0.0,0.0,1,1,,T20
Talha Khan (GER),2019-2019,1,1.0,1.0,40.0,40*,,41.0,97.56,0.0,0.0,0.0,4,0,,T20
Tariq Aziz (PORT),2019-2019,4,4.0,1.0,40.0,23,13.33,47.0,85.1,0.0,0.0,1.0,1,2,,T20
KDK Vithanage (SL),2014-2016,3,3.0,0.0,40.0,38,13.33,34.0,117.64,0.0,0.0,0.0,7,0,,T20
RR David (CAN),2008-2008,4,4.0,0.0,39.0,17,9.75,65.0,60.0,0.0,0.0,0.0,2,1,,T20
Imran Khan (PORT),2019-2019,4,3.0,1.0,39.0,36,19.5,32.0,121.87,0.0,0.0,0.0,2,3,,T20
Munir Dar (HKG),2014-2014,2,2.0,0.0,39.0,36,19.5,33.0,118.18,0.0,0.0,0.0,3,1,,T20
Rafatullah Mohmand (PAK),2015-2015,3,3.0,0.0,39.0,23,13.0,45.0,86.66,0.0,0.0,1.0,4,0,,T20
P Silas (Botsw),2019-2019,4,3.0,0.0,39.0,20,13.0,44.0,88.63,0.0,0.0,0.0,1,1,,T20
S Tobgay (BHU),2019-2019,2,2.0,0.0,39.0,24,19.5,58.0,67.24,0.0,0.0,0.0,1,0,,T20
PA van Meekeren (NL),2013-2019,41,9.0,1.0,39.0,18,4.87,40.0,97.5,0.0,0.0,3.0,0,3,,T20
RI Ahmed (NL),2015-2015,2,2.0,0.0,38.0,25,19.0,50.0,76.0,0.0,0.0,0.0,2,0,,T20
Ameer Saiyed (Botsw),2019-2019,4,3.0,0.0,38.0,22,12.66,47.0,80.85,0.0,0.0,0.0,4,0,,T20
R Flannigan (SCOT),2012-2012,4,4.0,1.0,38.0,18,12.66,33.0,115.15,0.0,0.0,1.0,4,0,,T20
D Kansonkho (MWI),2019-2019,7,4.0,0.0,38.0,21,9.5,47.0,80.85,0.0,0.0,2.0,5,0,,T20
AK Kitchen (NZ),2017-2018,5,4.0,1.0,38.0,16,12.66,32.0,118.75,0.0,0.0,0.0,3,1,,T20
BF Mailata (Samoa),2019-2019,4,4.0,0.0,38.0,17,9.5,48.0,79.16,0.0,0.0,0.0,2,1,,T20
Mohammad Amin (KUW),2019-2019,4,4.0,2.0,38.0,15*,19.0,39.0,97.43,0.0,0.0,0.0,5,0,,T20
D Mongia (INDIA),2006-2006,1,1.0,0.0,38.0,38,38.0,45.0,84.44,0.0,0.0,0.0,4,1,,T20
F Mutizwa (ZIM),2011-2012,3,3.0,0.0,38.0,22,12.66,36.0,105.55,0.0,0.0,1.0,3,0,,T20
H Pragji (Botsw),2019-2019,4,4.0,1.0,38.0,30*,12.66,65.0,58.46,0.0,0.0,0.0,1,0,,T20
BJ Watling (NZ),2009-2014,5,4.0,0.0,38.0,22,9.5,58.0,65.51,0.0,0.0,0.0,3,0,,T20
SJ Benn (WI),2008-2016,24,7.0,4.0,37.0,13*,12.33,42.0,88.09,0.0,0.0,1.0,5,1,,T20
VD Chandra (PNM),2019-2019,3,2.0,0.0,37.0,26,18.5,30.0,123.33,0.0,0.0,0.0,3,3,,T20
I Danladi (NGA),2019-2019,3,2.0,0.0,37.0,37,18.5,38.0,97.36,0.0,0.0,1.0,4,1,,T20
CJ Delany (GIBR),2019-2019,4,4.0,0.0,37.0,21,9.25,60.0,61.66,0.0,0.0,1.0,2,0,,T20
JS Foster (ENG),2009-2009,5,5.0,2.0,37.0,14*,12.33,32.0,115.62,0.0,0.0,0.0,0,1,,T20
RM Hira (NZ),2012-2013,15,3.0,1.0,37.0,20*,18.5,33.0,112.12,0.0,0.0,0.0,4,1,,T20
J Hirschi (MALTA),2019-2019,4,4.0,0.0,37.0,13,9.25,62.0,59.67,0.0,0.0,0.0,0,0,,T20
AF Ifill (Caym),2019-2019,6,6.0,1.0,37.0,9,7.4,61.0,60.65,0.0,0.0,0.0,2,1,,T20
R Kumar (ROM),2019-2019,4,3.0,1.0,37.0,32,18.5,27.0,137.03,0.0,0.0,0.0,6,0,,T20
D Manani (ROM),2019-2019,2,2.0,1.0,37.0,19*,37.0,32.0,115.62,0.0,0.0,0.0,4,1,,T20
S Sola (Samoa),2019-2019,4,3.0,0.0,37.0,18,12.33,36.0,102.77,0.0,0.0,0.0,1,3,,T20
CA Soper (PNG),2015-2019,13,6.0,4.0,37.0,19,18.5,41.0,90.24,0.0,0.0,0.0,0,3,,T20
BM Wheeler (NZ),2017-2018,6,4.0,2.0,37.0,30,18.5,28.0,132.14,0.0,0.0,0.0,3,2,,T20
RJ Campbell (HKG),2016-2016,3,3.0,0.0,36.0,27,12.0,47.0,76.59,0.0,0.0,1.0,6,0,,T20
TK Curran (ENG),2017-2019,15,6.0,4.0,36.0,14*,18.0,27.0,133.33,0.0,0.0,0.0,0,3,,T20
J Dunn (VAN),2019-2019,4,3.0,0.0,36.0,23,12.0,41.0,87.8,0.0,0.0,0.0,0,1,,T20
J Jojo (DEN),2019-2019,7,5.0,3.0,36.0,13,18.0,27.0,133.33,0.0,0.0,0.0,1,1,,T20
TE Kane (IRE),2015-2019,7,3.0,1.0,36.0,26*,18.0,23.0,156.52,0.0,0.0,0.0,5,0,,T20
Mohammed Qasim (UAE),2016-2017,3,3.0,1.0,36.0,13*,18.0,51.0,70.58,0.0,0.0,0.0,2,0,,T20
Mohsin Hub (Peru),2019-2019,4,4.0,1.0,36.0,16*,12.0,41.0,87.8,0.0,0.0,1.0,2,0,,T20
PA Patel (INDIA),2011-2011,2,2.0,0.0,36.0,26,18.0,32.0,112.5,0.0,0.0,0.0,4,1,,T20
Abdul Shakoor (UAE),2015-2019,6,4.0,2.0,35.0,20*,17.5,40.0,87.5,0.0,0.0,0.0,3,0,,T20
MP Biddappa (PHI),2019-2019,4,2.0,1.0,35.0,22*,35.0,47.0,74.46,0.0,0.0,0.0,1,1,,T20
STR Binny (INDIA),2015-2016,3,2.0,0.0,35.0,24,17.5,29.0,120.68,0.0,0.0,0.0,2,1,,T20
PJ Cummins (AUS),2011-2019,25,11.0,4.0,35.0,13,5.0,37.0,94.59,0.0,0.0,2.0,2,1,,T20
SM Curran (ENG),2019-2019,5,3.0,0.0,35.0,24,11.66,23.0,152.17,0.0,0.0,0.0,3,2,,T20
CD de Lange (SCOT),2015-2017,8,3.0,0.0,35.0,22,11.66,22.0,159.09,0.0,0.0,0.0,2,2,,T20
L Hermida (Mex),2019-2019,5,5.0,2.0,35.0,12,11.66,52.0,67.3,0.0,0.0,0.0,1,0,,T20
JN Malan (SA),2019-2019,2,2.0,0.0,35.0,33,17.5,37.0,94.59,0.0,0.0,0.0,3,2,,T20
VV Morea (PNG),2015-2017,5,5.0,0.0,35.0,19,7.0,44.0,79.54,0.0,0.0,1.0,4,0,,T20
D Murphy (SCOT),2013-2013,4,4.0,3.0,35.0,20,35.0,35.0,100.0,0.0,0.0,0.0,1,0,,T20
Nazakat Ali (NOR),2019-2019,2,2.0,0.0,35.0,25,17.5,31.0,112.9,0.0,0.0,0.0,1,3,,T20
Shuvagata Hom (BDESH),2016-2016,5,4.0,2.0,35.0,16*,17.5,35.0,100.0,0.0,0.0,0.0,3,1,,T20
Sultan Ahmed (UAE),2017-2019,17,9.0,3.0,35.0,11,5.83,37.0,94.59,0.0,0.0,3.0,0,2,,T20
DK Anefie (Ghana),2019-2019,4,4.0,2.0,34.0,18*,17.0,38.0,89.47,0.0,0.0,1.0,2,0,,T20
Arafat Sunny (BDESH),2014-2016,10,6.0,3.0,34.0,10,11.33,30.0,113.33,0.0,0.0,0.0,3,1,,T20
Hammad Azam (PAK),2012-2013,5,4.0,1.0,34.0,21,11.33,34.0,100.0,0.0,0.0,0.0,3,1,,T20
Nadeem Ahmed (HKG),2014-2017,24,9.0,4.0,34.0,10,6.8,55.0,61.81,0.0,0.0,1.0,2,0,,T20
JD Nel (SCOT),2007-2010,10,5.0,2.0,34.0,13*,11.33,25.0,136.0,0.0,0.0,1.0,3,1,,T20
OL Pitcher (BMUDA),2008-2008,3,3.0,0.0,34.0,15,11.33,53.0,64.15,0.0,0.0,0.0,1,0,,T20
S Rakshit (CZK-R),2019-2019,7,5.0,1.0,34.0,15,8.5,44.0,77.27,0.0,0.0,1.0,5,0,,T20
Saqib Zulfiqar (NL),2018-2019,6,4.0,0.0,34.0,18,8.5,43.0,79.06,0.0,0.0,0.0,1,0,,T20
JTS Sumerauer (JER),2019-2019,8,6.0,1.0,34.0,13,6.8,39.0,87.17,0.0,0.0,0.0,3,0,,T20
W Viraliliu (VAN),2019-2019,10,7.0,3.0,34.0,13*,8.5,26.0,130.76,0.0,0.0,0.0,3,2,,T20
PSP Handscomb (AUS),2019-2019,2,2.0,1.0,33.0,20*,33.0,33.0,100.0,0.0,0.0,0.0,1,0,,T20
GO Jones (ENG),2005-2006,2,2.0,1.0,33.0,19,33.0,25.0,132.0,0.0,0.0,0.0,5,0,,T20
FJ Klaassen (NL),2018-2019,21,7.0,1.0,33.0,13,5.5,34.0,97.05,0.0,0.0,1.0,2,0,,T20
MF Maharoof (SL),2006-2016,8,5.0,1.0,33.0,13*,8.25,43.0,76.74,0.0,0.0,1.0,0,1,,T20
CB Mpofu (ZIM),2008-2019,30,10.0,6.0,33.0,17*,8.25,40.0,82.5,0.0,0.0,3.0,3,1,,T20
K Nestor (GIBR),2019-2019,4,4.0,1.0,33.0,16,11.0,35.0,94.28,0.0,0.0,0.0,1,2,,T20
I Pandey (NEPAL),2019-2019,4,4.0,0.0,33.0,22,8.25,50.0,66.0,0.0,0.0,0.0,5,0,,T20
RJMGM Rupasinghe (SL),2009-2009,2,2.0,0.0,33.0,18,16.5,39.0,84.61,0.0,0.0,0.0,2,0,,T20
Simandeep Singh (HKG),2019-2019,7,7.0,2.0,33.0,14*,6.6,32.0,103.12,0.0,0.0,0.0,2,0,,T20
WPUJC Vaas (SL),2006-2007,6,2.0,1.0,33.0,21,33.0,41.0,80.48,0.0,0.0,0.0,1,0,,T20
AA Westphal (Mex),2019-2019,5,5.0,0.0,33.0,24,6.6,40.0,82.5,0.0,0.0,0.0,3,0,,T20
Abdul Wahid (Saudi),2019-2019,5,3.0,1.0,32.0,17*,16.0,26.0,123.07,0.0,0.0,0.0,4,1,,T20
KS Bagabena (Ghana),2019-2019,4,3.0,2.0,32.0,23*,32.0,32.0,100.0,0.0,0.0,1.0,1,0,,T20
WD Balaji Rao (CAN),2008-2008,4,4.0,1.0,32.0,22*,10.66,30.0,106.66,0.0,0.0,1.0,1,2,,T20
SE Findlay (WI),2008-2008,2,2.0,0.0,32.0,19,16.0,31.0,103.22,0.0,0.0,0.0,4,0,,T20
TG Gordon (CAN),2012-2012,3,3.0,0.0,32.0,23,10.66,37.0,86.48,0.0,0.0,0.0,3,0,,T20
LHB Harrington-Myers (Caym),2019-2019,4,4.0,1.0,32.0,17*,10.66,39.0,82.05,0.0,0.0,1.0,1,1,,T20
Khizer Ahmed (NOR),2019-2019,5,4.0,2.0,32.0,18,16.0,47.0,68.08,0.0,0.0,0.0,1,0,,T20
GA Lamb (ZIM),2010-2010,5,4.0,2.0,32.0,14*,16.0,54.0,59.25,0.0,0.0,1.0,1,0,,T20
GH O'Brien (BMUDA),2008-2019,11,6.0,2.0,32.0,7*,8.0,38.0,84.21,0.0,0.0,1.0,1,2,,T20
SNJ O'Keefe (AUS),2010-2011,7,5.0,0.0,32.0,22,6.4,26.0,123.07,0.0,0.0,0.0,4,1,,T20
Shiraz Khan (KUW),2019-2019,6,5.0,1.0,32.0,16*,8.0,27.0,118.51,0.0,0.0,1.0,2,1,,T20
KRP Silva (USA),2019-2019,2,2.0,0.0,32.0,25,16.0,12.0,266.66,0.0,0.0,0.0,2,3,,T20
J Theron (SA),2010-2012,9,3.0,3.0,32.0,31*,,21.0,152.38,0.0,0.0,0.0,3,1,,T20
JC Tredwell (ENG),2012-2014,17,6.0,3.0,32.0,22,10.66,20.0,160.0,0.0,0.0,1.0,4,1,,T20
TR Birt (AUS),2010-2012,4,3.0,0.0,31.0,17,10.33,33.0,93.93,0.0,0.0,0.0,3,1,,T20
PVD Chameera (SL),2015-2018,19,10.0,6.0,31.0,12,7.75,40.0,77.5,0.0,0.0,2.0,3,0,,T20
P Chandran (Mex),2019-2019,3,3.0,0.0,31.0,23,10.33,47.0,65.95,0.0,0.0,1.0,2,1,,T20
R Dravid (INDIA),2011-2011,1,1.0,0.0,31.0,31,31.0,21.0,147.61,0.0,0.0,0.0,0,3,,T20
V Ganesan (GER),2019-2019,4,4.0,0.0,31.0,15,7.75,42.0,73.8,0.0,0.0,0.0,0,0,,T20
Jahurul Islam (BDESH),2010-2013,3,3.0,0.0,31.0,18,10.33,23.0,134.78,0.0,0.0,0.0,3,1,,T20
Jasdeep Singh (USA),2019-2019,4,2.0,0.0,31.0,31,15.5,25.0,124.0,0.0,0.0,1.0,0,3,,T20
AS Mehmi (),2019-2019,3,2.0,1.0,31.0,21*,31.0,29.0,106.89,0.0,0.0,0.0,2,1,,T20
RG Mukasa (UGA),2019-2019,4,4.0,0.0,31.0,14,7.75,40.0,77.5,0.0,0.0,0.0,1,0,,T20
PA Nixon (ENG),2007-2007,1,1.0,1.0,31.0,31*,,22.0,140.9,0.0,0.0,0.0,2,1,,T20
H Osinde (CAN),2008-2013,11,6.0,2.0,31.0,17,7.75,34.0,91.17,0.0,0.0,0.0,1,2,,T20
VS Padhaal (Fin),2019-2019,5,5.0,0.0,31.0,14,6.2,44.0,70.45,0.0,0.0,0.0,4,0,,T20
D Sheeli (KUW),2019-2019,3,3.0,0.0,31.0,19,10.33,32.0,96.87,0.0,0.0,0.0,3,0,,T20
ACF Stokes (GUE),2019-2019,7,5.0,0.0,31.0,16,6.2,26.0,119.23,0.0,0.0,3.0,6,0,,T20
Tafseer Ali (NOR),2019-2019,5,4.0,1.0,31.0,19,10.33,53.0,58.49,0.0,0.0,0.0,1,0,,T20
Zubaidi Zulkifle (MAL),2019-2019,4,4.0,0.0,31.0,22,7.75,29.0,106.89,0.0,0.0,1.0,2,2,,T20
D Cato (Caym),2019-2019,3,3.0,0.0,30.0,20,10.0,59.0,50.84,0.0,0.0,0.0,2,0,,T20
WW Hinds (WI),2006-2010,5,5.0,1.0,30.0,14,7.5,41.0,73.17,0.0,0.0,1.0,3,0,,T20
LC Le Tissier (GUE),2019-2019,9,7.0,2.0,30.0,9,6.0,29.0,103.44,0.0,0.0,0.0,2,0,,T20
Mian Mehmood (PORT),2019-2019,4,4.0,0.0,29.0,13,7.25,41.0,70.73,0.0,0.0,1.0,1,1,,T20
SH Obed (VAN),2019-2019,12,7.0,2.0,29.0,9,5.8,41.0,70.73,0.0,0.0,0.0,1,0,,T20
S Rossi (Arg),2019-2019,5,4.0,1.0,29.0,13,9.66,27.0,107.4,0.0,0.0,0.0,2,1,,T20
J Salazar (Peru),2019-2019,2,2.0,1.0,29.0,20*,29.0,36.0,80.55,0.0,0.0,0.0,0,0,,T20
Taskin Ahmed (BDESH),2014-2018,19,6.0,3.0,29.0,15*,9.66,31.0,93.54,0.0,0.0,1.0,3,1,,T20
DT Tiripano (ZIM),2016-2019,10,6.0,2.0,29.0,14,7.25,34.0,85.29,0.0,0.0,2.0,0,2,,T20
C Zavoiu (ROM),2019-2019,3,2.0,0.0,29.0,27,14.5,39.0,74.35,0.0,0.0,0.0,3,0,,T20
Ahsan Malik (NL),2012-2017,31,8.0,5.0,28.0,11*,9.33,30.0,93.33,0.0,0.0,1.0,1,1,,T20
KK Ahuja (Mex),2019-2019,8,7.0,0.0,28.0,8,4.0,50.0,56.0,0.0,0.0,1.0,1,1,,T20
Amjad Khan (UAE),2015-2016,4,3.0,0.0,28.0,24,9.33,30.0,93.33,0.0,0.0,0.0,3,1,,T20
EJB Miles (JER),2019-2019,14,4.0,2.0,28.0,16,14.0,31.0,90.32,0.0,0.0,0.0,1,0,,T20
A Nehra (INDIA),2009-2017,27,5.0,0.0,28.0,22,5.6,39.0,71.79,0.0,0.0,3.0,1,2,,T20
PJ Ongondo (KENYA),2007-2008,8,6.0,0.0,28.0,16,4.66,23.0,121.73,0.0,0.0,2.0,1,2,,T20
CW Perchard (JER),2019-2019,15,5.0,2.0,28.0,12,9.33,35.0,80.0,0.0,0.0,0.0,0,0,,T20
R Pillai (GER),2019-2019,6,5.0,1.0,28.0,14,7.0,44.0,63.63,0.0,0.0,1.0,1,0,,T20
Sharafuddin Ashraf (AFG),2015-2019,8,4.0,1.0,28.0,18,9.33,29.0,96.55,0.0,0.0,0.0,1,1,,T20
Ahmed Wardak (GER),2019-2019,9,4.0,2.0,27.0,20*,13.5,38.0,71.05,0.0,0.0,0.0,1,0,,T20
TP Allen (USA),2019-2019,5,3.0,1.0,27.0,11*,13.5,17.0,158.82,0.0,0.0,0.0,0,3,,T20
G Bakiweyem (Ghana),2019-2019,3,2.0,1.0,27.0,15*,27.0,30.0,90.0,0.0,0.0,0.0,0,0,,T20
TC Barker (LUX),2019-2019,4,4.0,0.0,27.0,18,6.75,33.0,81.81,0.0,0.0,0.0,1,0,,T20
NE Bonner (WI),2011-2012,2,2.0,0.0,27.0,24,13.5,38.0,71.05,0.0,0.0,0.0,2,0,,T20
DT Christian (AUS),2010-2017,16,7.0,3.0,27.0,9,6.75,28.0,96.42,0.0,0.0,1.0,2,0,,T20
RM Dorji (BHU),2019-2019,1,1.0,0.0,27.0,27,27.0,23.0,117.39,0.0,0.0,0.0,0,4,,T20
H Fennell (Arg),2019-2019,5,5.0,2.0,27.0,25*,9.0,23.0,117.39,0.0,0.0,3.0,4,1,,T20
S Hongsi (THAI),2019-2019,3,3.0,3.0,27.0,11*,,16.0,168.75,0.0,0.0,0.0,3,1,,T20
Mohammad Iqbal (CAN),2008-2008,3,3.0,0.0,27.0,22,9.0,39.0,69.23,0.0,0.0,0.0,1,0,,T20
Nadif Chowdhury (BDESH),2006-2007,3,3.0,0.0,27.0,12,9.0,23.0,117.39,0.0,0.0,0.0,2,0,,T20
SS Pathirana (SL),2016-2017,5,5.0,0.0,27.0,14,5.4,24.0,112.5,0.0,0.0,0.0,3,0,,T20
Shapoor Zadran (AFG),2010-2018,34,13.0,6.0,27.0,13,3.85,65.0,41.53,0.0,0.0,3.0,0,3,,T20
Shoaib Qureshi (Fin),2019-2019,5,4.0,0.0,27.0,12,6.75,34.0,79.41,0.0,0.0,1.0,2,0,,T20
MP Vaughan (ENG),2005-2007,2,2.0,0.0,27.0,27,13.5,22.0,122.72,0.0,0.0,1.0,4,0,,T20
Waqas Ali (Belg),2019-2019,2,2.0,0.0,27.0,14,13.5,31.0,87.09,0.0,0.0,0.0,0,2,,T20
Zulfiqar Babar (PAK),2013-2014,7,3.0,3.0,27.0,13*,,27.0,100.0,0.0,0.0,0.0,2,1,,T20
Arsalan Arif (Aut),2019-2019,2,1.0,1.0,26.0,26*,,11.0,236.36,0.0,0.0,0.0,5,0,,T20
TB de Bruyn (SA),2017-2017,2,2.0,0.0,26.0,19,13.0,16.0,162.5,0.0,0.0,0.0,3,1,,T20
D Ganga (WI),2006-2006,1,1.0,0.0,26.0,26,26.0,31.0,83.87,0.0,0.0,0.0,3,1,,T20
R Goodwin (PHI),2019-2019,4,4.0,1.0,26.0,16*,8.66,36.0,72.22,0.0,0.0,1.0,1,0,,T20
